order_id,date,product,region,segment,quantity,unit_price,discount,customer_age,customer_loyalty_years,marketing_spend,competitor_price_index,revenue,profit_margin,profit,month,year,quarter,product_encoded,region_encoded,segment_encoded
ORD-00000,2021-01-01,Phone,East,SMB,5,617.9,0.21,41,9.1,1887.46,0.89,2440.7,0.481,1173.98,1,2021,1,5,1,3
ORD-00001,2021-01-01,Laptop,South,Online,12,1624.65,0.21,69,1.6,2018.2,1.19,15401.68,0.391,6022.06,1,2021,1,2,3,1
ORD-00002,2021-01-01,Headphones,East,SMB,7,988.85,0.15,36,2.5,1111.49,1.06,5883.66,0.252,1482.68,1,2021,1,0,1,3
ORD-00003,2021-01-01,Phone,North,Retail,13,1326.95,0.26,22,6.1,4384.41,0.87,12765.26,0.141,1799.9,1,2021,1,5,2,2
ORD-00004,2021-01-01,Headphones,West,Retail,13,419.08,0.3,46,1.2,656.09,1.0,3813.63,0.297,1132.65,1,2021,1,0,4,2
ORD-00005,2021-01-01,Mouse,South,Enterprise,17,1090.34,0.23,56,8.9,2859.33,0.87,14272.55,0.302,4310.31,1,2021,1,4,3,0
ORD-00006,2021-01-01,Tablet,Central,SMB,4,670.05,0.18,19,0.5,4089.34,1.04,2197.76,0.32,703.28,1,2021,1,6,0,3
ORD-00007,2021-01-01,Mouse,Central,Online,18,1076.51,0.02,34,7.6,2946.43,0.94,18989.64,0.373,7083.14,1,2021,1,4,0,1
ORD-00008,2021-01-02,Phone,North,Online,10,1572.61,0.22,62,3.7,1701.79,0.88,12266.36,0.206,2526.87,1,2021,1,5,2,1
ORD-00009,2021-01-02,Phone,East,Retail,3,1549.38,0.21,28,0.5,3928.64,0.9,3672.03,0.101,370.88,1,2021,1,5,1,2
ORD-00010,2021-01-02,Phone,East,Online,12,740.73,0.23,54,8.4,2545.97,1.07,6844.35,0.425,2908.85,1,2021,1,5,1,1
ORD-00011,2021-01-02,Monitor,North,Retail,1,1403.84,0.04,30,6.4,898.76,0.96,1347.69,0.429,578.16,1,2021,1,3,2,2
ORD-00012,2021-01-02,Tablet,Central,Retail,11,1885.52,0.2,46,0.1,1652.63,1.01,16592.58,0.465,7715.55,1,2021,1,6,0,2
ORD-00013,2021-01-03,Headphones,Central,Retail,18,1270.06,0.09,49,2.7,3000.51,1.13,20803.58,0.488,10152.15,1,2021,1,0,0,2
ORD-00014,2021-01-03,Webcam,East,Enterprise,13,339.4,0.23,62,3.5,3328.0,1.06,3397.39,0.164,557.17,1,2021,1,7,1,0
ORD-00015,2021-01-03,Phone,South,Enterprise,17,1375.43,0.07,57,3.2,2785.85,0.98,21745.55,0.242,5262.42,1,2021,1,5,3,0
ORD-00016,2021-01-03,Phone,West,Retail,8,254.56,0.21,60,5.0,1432.85,1.18,1608.82,0.441,709.49,1,2021,1,5,4,2
ORD-00017,2021-01-03,Headphones,South,Retail,19,1750.62,0.09,25,5.3,3009.39,0.89,30268.22,0.474,14347.14,1,2021,1,0,3,2
ORD-00018,2021-01-04,Webcam,Central,Retail,17,1057.49,0.0,27,4.0,1729.01,0.92,17977.33,0.106,1905.6,1,2021,1,7,0,2
ORD-00019,2021-01-04,Mouse,South,Online,2,801.02,0.19,42,3.3,1202.11,1.16,1297.65,0.255,330.9,1,2021,1,4,3,1
ORD-00020,2021-01-04,Mouse,West,Retail,3,161.16,0.03,28,5.0,4733.09,1.14,468.98,0.145,68.0,1,2021,1,4,4,2
ORD-00021,2021-01-05,Phone,South,Retail,3,792.53,0.2,45,0.3,1642.88,0.85,1902.07,0.415,789.36,1,2021,1,5,3,2
ORD-00022,2021-01-05,Laptop,South,SMB,6,1811.25,0.28,50,6.5,1744.54,1.17,7824.6,0.399,3122.02,1,2021,1,2,3,3
ORD-00023,2021-01-05,Monitor,South,SMB,10,90.92,0.29,56,6.1,4494.2,0.8,645.53,0.402,259.5,1,2021,1,3,3,3
ORD-00024,2021-01-05,Mouse,South,SMB,18,975.56,0.07,43,2.8,799.2,1.13,16330.87,0.256,4180.7,1,2021,1,4,3,3
ORD-00025,2021-01-06,Laptop,North,SMB,18,1865.76,0.24,25,1.8,2964.51,0.91,25523.6,0.262,6687.18,1,2021,1,2,2,3
ORD-00026,2021-01-06,Monitor,Central,Retail,14,819.94,0.11,55,0.7,3940.18,0.88,10216.45,0.205,2094.37,1,2021,1,3,0,2
ORD-00027,2021-01-06,Phone,West,SMB,16,884.94,0.27,43,5.9,1440.96,0.98,10336.1,0.244,2522.01,1,2021,1,5,4,3
ORD-00028,2021-01-06,Tablet,Central,Online,7,1178.19,0.24,49,5.7,4236.0,1.16,6267.97,0.493,3090.11,1,2021,1,6,0,1
ORD-00029,2021-01-07,Keyboard,North,Online,1,952.73,0.02,63,5.3,3871.28,1.11,933.68,0.119,111.11,1,2021,1,1,2,1
ORD-00030,2021-01-07,Keyboard,North,SMB,17,378.77,0.12,45,9.9,2481.86,1.19,5666.4,0.23,1303.27,1,2021,1,1,2,3
ORD-00031,2021-01-07,Phone,North,Enterprise,5,86.18,0.1,69,5.3,681.71,1.02,387.81,0.416,161.33,1,2021,1,5,2,0
ORD-00032,2021-01-07,Mouse,North,Online,1,1239.13,0.24,24,7.2,4853.53,1.0,941.74,0.253,238.26,1,2021,1,4,2,1
ORD-00033,2021-01-07,Laptop,South,Online,17,1845.57,0.12,52,1.1,3158.73,0.81,27609.73,0.48,13252.67,1,2021,1,2,3,1
ORD-00034,2021-01-08,Tablet,Central,SMB,10,257.41,0.21,19,3.0,2633.78,0.87,2033.54,0.233,473.81,1,2021,1,6,0,3
ORD-00035,2021-01-08,Headphones,East,SMB,12,461.36,0.18,39,2.8,4438.7,1.0,4539.78,0.44,1997.5,1,2021,1,0,1,3
ORD-00036,2021-01-08,Monitor,West,Retail,2,771.95,0.29,67,5.8,2164.65,1.1,1096.17,0.426,466.97,1,2021,1,3,4,2
ORD-00037,2021-01-08,Phone,North,Online,16,1627.05,0.28,39,3.3,2861.84,1.13,18743.62,0.104,1949.34,1,2021,1,5,2,1
ORD-00038,2021-01-08,Tablet,Central,SMB,15,575.06,0.13,20,6.4,4306.22,0.91,7504.53,0.261,1958.68,1,2021,1,6,0,3
ORD-00039,2021-01-09,Webcam,North,SMB,13,1770.01,0.22,63,6.9,2025.56,1.08,17947.9,0.212,3804.95,1,2021,1,7,2,3
ORD-00040,2021-01-09,Tablet,North,Retail,18,157.17,0.25,67,0.3,3884.72,1.13,2121.8,0.292,619.57,1,2021,1,6,2,2
ORD-00041,2021-01-09,Mouse,North,Online,14,1884.87,0.27,62,6.4,1355.08,0.95,19263.37,0.285,5490.06,1,2021,1,4,2,1
ORD-00042,2021-01-10,Webcam,North,SMB,18,1143.46,0.02,25,1.2,3541.59,1.08,20170.63,0.462,9318.83,1,2021,1,7,2,3
ORD-00043,2021-01-10,Monitor,North,Retail,2,1334.62,0.09,21,4.7,2601.13,0.97,2429.01,0.173,420.22,1,2021,1,3,2,2
ORD-00044,2021-01-10,Webcam,West,SMB,2,766.99,0.1,32,7.3,908.04,1.19,1380.58,0.173,238.84,1,2021,1,7,4,3
ORD-00045,2021-01-10,Tablet,Central,Enterprise,3,1574.89,0.13,61,7.0,766.44,0.8,4110.46,0.143,587.8,1,2021,1,6,0,0
ORD-00046,2021-01-10,Mouse,North,Enterprise,5,374.8,0.05,63,3.0,2342.67,0.97,1780.3,0.395,703.22,1,2021,1,4,2,0
ORD-00047,2021-01-11,Webcam,North,SMB,16,145.38,0.15,69,2.7,3583.15,0.91,1977.17,0.467,923.34,1,2021,1,7,2,3
ORD-00048,2021-01-11,Laptop,North,Online,15,821.26,0.2,56,4.4,3056.15,1.14,9855.12,0.247,2434.21,1,2021,1,2,2,1
ORD-00049,2021-01-11,Mouse,North,Enterprise,12,1714.71,0.15,29,1.9,4288.15,0.91,17490.04,0.125,2186.26,1,2021,1,4,2,0
ORD-00050,2021-01-11,Laptop,South,Retail,9,1522.11,0.2,46,9.7,2009.34,1.02,10959.19,0.162,1775.39,1,2021,1,2,3,2
ORD-00051,2021-01-11,Laptop,South,SMB,14,1058.45,0.02,26,3.4,4233.85,1.1,14521.93,0.141,2047.59,1,2021,1,2,3,3
ORD-00052,2021-01-12,Webcam,East,Retail,16,1165.67,0.26,59,9.2,281.44,1.0,13801.53,0.337,4651.12,1,2021,1,7,1,2
ORD-00053,2021-01-12,Webcam,North,Enterprise,11,303.29,0.28,57,9.1,1892.44,0.96,2402.06,0.213,511.64,1,2021,1,7,2,0
ORD-00054,2021-01-12,Headphones,East,Online,6,1689.33,0.19,37,3.6,457.62,0.82,8210.14,0.459,3768.45,1,2021,1,0,1,1
ORD-00055,2021-01-12,Headphones,West,Retail,10,1584.57,0.26,51,2.5,4604.3,0.81,11725.82,0.165,1934.76,1,2021,1,0,4,2
ORD-00056,2021-01-12,Tablet,East,Enterprise,8,1330.12,0.04,43,7.7,2429.03,1.18,10215.32,0.472,4821.63,1,2021,1,6,1,0
ORD-00057,2021-01-12,Mouse,Central,Enterprise,16,959.07,0.24,65,2.3,1649.17,1.06,11662.29,0.233,2717.31,1,2021,1,4,0,0
ORD-00058,2021-01-12,Headphones,South,Enterprise,3,1930.7,0.04,38,5.2,2513.19,1.13,5560.42,0.447,2485.51,1,2021,1,0,3,0
ORD-00059,2021-01-12,Laptop,South,Retail,2,1764.11,0.12,40,1.1,2710.95,0.99,3104.83,0.48,1490.32,1,2021,1,2,3,2
ORD-00060,2021-01-12,Headphones,North,Enterprise,16,1306.64,0.1,35,3.9,4246.54,0.9,18815.62,0.495,9313.73,1,2021,1,0,2,0
ORD-00061,2021-01-13,Monitor,North,SMB,19,775.01,0.18,69,0.8,2757.9,0.92,12074.66,0.421,5083.43,1,2021,1,3,2,3
ORD-00062,2021-01-13,Tablet,West,Enterprise,9,1255.14,0.09,41,2.8,2213.77,0.82,10279.6,0.141,1449.42,1,2021,1,6,4,0
ORD-00063,2021-01-13,Mouse,West,SMB,16,1172.11,0.19,59,6.7,4810.64,1.12,15190.55,0.122,1853.25,1,2021,1,4,4,3
ORD-00064,2021-01-13,Mouse,Central,Online,4,818.77,0.11,46,9.9,4845.93,1.03,2914.82,0.396,1154.27,1,2021,1,4,0,1
ORD-00065,2021-01-13,Keyboard,North,SMB,10,648.01,0.26,55,2.5,288.24,0.99,4795.27,0.459,2201.03,1,2021,1,1,2,3
ORD-00066,2021-01-14,Mouse,North,Online,19,843.67,0.19,55,4.7,3563.54,1.14,12984.08,0.166,2155.36,1,2021,1,4,2,1
ORD-00067,2021-01-14,Tablet,West,Online,13,1169.13,0.06,69,4.5,1921.61,0.98,14286.77,0.476,6800.5,1,2021,1,6,4,1
ORD-00068,2021-01-14,Monitor,West,SMB,18,884.86,0.1,30,1.8,3408.48,1.18,14334.73,0.344,4931.15,1,2021,1,3,4,3
ORD-00069,2021-01-14,Mouse,West,Online,15,563.97,0.25,49,6.1,3220.92,0.81,6344.66,0.15,951.7,1,2021,1,4,4,1
ORD-00070,2021-01-15,Keyboard,South,SMB,4,1533.88,0.12,36,7.2,1717.51,1.19,5399.26,0.167,901.68,1,2021,1,1,3,3
ORD-00071,2021-01-15,Tablet,East,Retail,9,1086.36,0.16,34,1.5,4934.63,1.13,8212.88,0.126,1034.82,1,2021,1,6,1,2
ORD-00072,2021-01-15,Laptop,East,Online,4,181.97,0.19,19,7.6,1849.84,0.94,589.58,0.157,92.56,1,2021,1,2,1,1
ORD-00073,2021-01-15,Phone,North,SMB,16,768.22,0.1,35,7.0,3196.71,1.04,11062.37,0.393,4347.51,1,2021,1,5,2,3
ORD-00074,2021-01-15,Phone,South,Online,15,1775.58,0.09,56,2.0,4085.59,1.15,24236.67,0.188,4556.49,1,2021,1,5,3,1
ORD-00075,2021-01-16,Laptop,West,Enterprise,2,1522.71,0.14,44,6.5,812.78,0.99,2619.06,0.325,851.19,1,2021,1,2,4,0
ORD-00076,2021-01-16,Headphones,North,SMB,14,680.33,0.06,31,3.9,1572.79,0.82,8953.14,0.388,3473.82,1,2021,1,0,2,3
ORD-00077,2021-01-17,Mouse,South,Enterprise,3,1879.46,0.09,32,6.8,1074.97,1.16,5130.93,0.458,2349.97,1,2021,1,4,3,0
ORD-00078,2021-01-17,Webcam,Central,Online,4,199.38,0.02,25,5.0,3930.93,1.01,781.57,0.336,262.61,1,2021,1,7,0,1
ORD-00079,2021-01-17,Phone,South,Online,1,1924.41,0.09,26,0.5,4025.92,1.02,1751.21,0.328,574.4,1,2021,1,5,3,1
ORD-00080,2021-01-17,Headphones,North,Retail,9,529.12,0.1,38,7.9,1354.12,0.81,4285.87,0.465,1992.93,1,2021,1,0,2,2
ORD-00081,2021-01-17,Phone,East,SMB,17,67.73,0.29,60,5.6,120.24,0.84,817.5,0.218,178.22,1,2021,1,5,1,3
ORD-00082,2021-01-17,Laptop,West,Enterprise,14,895.93,0.18,52,7.2,2174.42,1.11,10285.28,0.181,1861.64,1,2021,1,2,4,0
ORD-00083,2021-01-17,Mouse,Central,Retail,17,749.99,0.24,69,1.3,3466.97,0.97,9689.87,0.449,4350.75,1,2021,1,4,0,2
ORD-00084,2021-01-18,Mouse,South,Online,1,1101.22,0.01,31,7.2,3150.26,1.2,1090.21,0.13,141.73,1,2021,1,4,3,1
ORD-00085,2021-01-18,Headphones,North,Online,10,1603.71,0.03,44,4.1,2283.93,1.08,15555.99,0.176,2737.85,1,2021,1,0,2,1
ORD-00086,2021-01-19,Laptop,North,Retail,16,1692.74,0.24,25,8.0,1579.51,1.18,20583.72,0.265,5454.69,1,2021,1,2,2,2
ORD-00087,2021-01-19,Headphones,West,Enterprise,19,832.4,0.19,52,6.0,2424.5,0.91,12810.64,0.245,3138.61,1,2021,1,0,4,0
ORD-00088,2021-01-19,Mouse,North,Online,3,888.2,0.06,35,3.5,174.0,0.87,2504.72,0.382,956.8,1,2021,1,4,2,1
ORD-00089,2021-01-19,Webcam,North,Online,12,338.95,0.12,31,2.0,461.97,0.95,3579.31,0.137,490.37,1,2021,1,7,2,1
ORD-00090,2021-01-19,Mouse,West,SMB,3,142.72,0.16,69,8.2,897.12,0.91,359.65,0.291,104.66,1,2021,1,4,4,3
ORD-00091,2021-01-19,Tablet,Central,Retail,15,1300.37,0.25,25,5.6,3164.49,1.05,14629.16,0.423,6188.13,1,2021,1,6,0,2
ORD-00092,2021-01-19,Webcam,East,Online,17,175.65,0.02,66,9.9,1172.12,1.1,2926.33,0.373,1091.52,1,2021,1,7,1,1
ORD-00093,2021-01-19,Headphones,East,Enterprise,18,1480.97,0.18,25,3.7,2174.56,0.96,21859.12,0.353,7716.27,1,2021,1,0,1,0
ORD-00094,2021-01-19,Tablet,South,SMB,7,1101.23,0.22,54,6.9,3144.91,0.84,6012.72,0.196,1178.49,1,2021,1,6,3,3
ORD-00095,2021-01-19,Laptop,Central,Retail,19,437.24,0.29,61,6.2,4169.83,0.81,5898.37,0.257,1515.88,1,2021,1,2,0,2
ORD-00096,2021-01-20,Monitor,South,Enterprise,7,1102.07,0.24,19,6.4,2793.32,0.89,5863.01,0.172,1008.44,1,2021,1,3,3,0
ORD-00097,2021-01-20,Phone,East,Online,5,406.85,0.08,34,7.4,967.92,1.09,1871.51,0.304,568.94,1,2021,1,5,1,1
ORD-00098,2021-01-21,Tablet,West,Retail,8,905.54,0.21,30,1.4,4763.52,0.89,5723.01,0.334,1911.49,1,2021,1,6,4,2
ORD-00099,2021-01-21,Phone,North,Retail,16,1609.14,0.23,31,5.5,541.07,1.16,19824.6,0.352,6978.26,1,2021,1,5,2,2
ORD-00100,2021-01-21,Keyboard,East,Enterprise,16,950.74,0.22,58,5.1,1898.88,1.06,11865.24,0.45,5339.36,1,2021,1,1,1,0
ORD-00101,2021-01-21,Laptop,Central,Retail,19,339.96,0.25,58,3.4,4614.49,1.14,4844.43,0.125,605.55,1,2021,1,2,0,2
ORD-00102,2021-01-21,Monitor,East,Enterprise,15,1461.47,0.27,26,4.4,3051.43,0.95,16003.1,0.255,4080.79,1,2021,1,3,1,0
ORD-00103,2021-01-21,Keyboard,Central,Online,7,414.2,0.03,44,5.2,3347.0,1.19,2812.42,0.336,944.97,1,2021,1,1,0,1
ORD-00104,2021-01-21,Keyboard,Central,SMB,5,1490.17,0.03,37,3.2,1578.29,1.07,7227.32,0.328,2370.56,1,2021,1,1,0,3
ORD-00105,2021-01-21,Mouse,Central,Enterprise,11,984.74,0.24,55,2.9,484.84,0.94,8232.43,0.109,897.33,1,2021,1,4,0,0
ORD-00106,2021-01-21,Keyboard,South,SMB,10,934.8,0.08,29,7.4,1892.23,0.89,8600.16,0.176,1513.63,1,2021,1,1,3,3
ORD-00107,2021-01-22,Laptop,West,Retail,9,1710.3,0.02,59,0.7,2070.57,1.15,15084.85,0.438,6607.16,1,2021,1,2,4,2
ORD-00108,2021-01-22,Tablet,East,Enterprise,1,1431.78,0.12,39,3.1,1424.33,0.93,1259.97,0.306,385.55,1,2021,1,6,1,0
ORD-00109,2021-01-22,Laptop,West,Online,1,114.18,0.25,54,6.5,1155.88,0.82,85.64,0.265,22.69,1,2021,1,2,4,1
ORD-00110,2021-01-22,Tablet,North,Enterprise,8,627.54,0.04,67,2.1,1841.99,0.91,4819.51,0.46,2216.97,1,2021,1,6,2,0
ORD-00111,2021-01-22,Keyboard,East,Enterprise,3,1748.3,0.2,56,5.7,3233.14,0.87,4195.92,0.13,545.47,1,2021,1,1,1,0
ORD-00112,2021-01-22,Keyboard,West,Enterprise,2,85.74,0.0,48,3.0,4750.27,0.93,171.48,0.469,80.42,1,2021,1,1,4,0
ORD-00113,2021-01-22,Webcam,West,SMB,4,1113.24,0.03,30,8.4,3548.53,1.05,4319.37,0.111,479.45,1,2021,1,7,4,3
ORD-00114,2021-01-22,Monitor,North,SMB,19,1469.26,0.11,18,3.5,3920.06,1.0,24845.19,0.325,8074.69,1,2021,1,3,2,3
ORD-00115,2021-01-23,Tablet,Central,Retail,11,1262.62,0.03,55,2.3,1599.73,1.08,13472.16,0.322,4338.04,1,2021,1,6,0,2
ORD-00116,2021-01-23,Keyboard,East,Retail,5,1533.04,0.25,57,5.3,612.99,0.93,5748.9,0.356,2046.61,1,2021,1,1,1,2
ORD-00117,2021-01-23,Mouse,East,Retail,10,1465.1,0.26,26,1.4,1528.42,0.85,10841.74,0.112,1214.27,1,2021,1,4,1,2
ORD-00118,2021-01-23,Webcam,North,Retail,8,1399.46,0.23,56,8.0,2073.01,0.86,8620.67,0.312,2689.65,1,2021,1,7,2,2
ORD-00119,2021-01-23,Phone,Central,Enterprise,13,1652.0,0.07,27,6.8,3480.42,1.12,19972.68,0.145,2896.04,1,2021,1,5,0,0
ORD-00120,2021-01-24,Webcam,East,SMB,5,1309.1,0.16,46,7.7,4702.86,0.84,5498.22,0.162,890.71,1,2021,1,7,1,3
ORD-00121,2021-01-25,Monitor,East,SMB,12,834.72,0.06,57,4.0,4065.53,1.12,9415.64,0.186,1751.31,1,2021,1,3,1,3
ORD-00122,2021-01-25,Laptop,East,SMB,13,970.22,0.08,47,8.4,1405.36,0.89,11603.83,0.345,4003.32,1,2021,1,2,1,3
ORD-00123,2021-01-25,Monitor,Central,SMB,8,1447.61,0.15,19,4.9,4119.47,1.07,9843.75,0.256,2520.0,1,2021,1,3,0,3
ORD-00124,2021-01-25,Phone,North,Retail,15,1758.8,0.22,35,0.9,2117.56,1.05,20577.96,0.134,2757.45,1,2021,1,5,2,2
ORD-00125,2021-01-25,Webcam,East,Enterprise,13,580.83,0.03,45,2.2,959.65,0.84,7324.27,0.216,1582.04,1,2021,1,7,1,0
ORD-00126,2021-01-25,Tablet,West,SMB,1,717.05,0.09,64,7.1,2360.14,1.07,652.52,0.131,85.48,1,2021,1,6,4,3
ORD-00127,2021-01-26,Laptop,Central,Online,6,1864.94,0.28,49,9.0,2859.78,0.98,8056.54,0.366,2948.69,1,2021,1,2,0,1
ORD-00128,2021-01-26,Laptop,South,Enterprise,11,1178.1,0.13,41,1.0,3840.69,1.08,11274.42,0.323,3641.64,1,2021,1,2,3,0
ORD-00129,2021-01-26,Tablet,North,Online,13,398.98,0.28,55,8.6,1814.49,1.13,3734.45,0.263,982.16,1,2021,1,6,2,1
ORD-00130,2021-01-27,Headphones,West,Enterprise,1,1344.21,0.3,31,8.0,819.22,0.82,940.95,0.471,443.19,1,2021,1,0,4,0
ORD-00131,2021-01-27,Headphones,East,Enterprise,11,1981.99,0.16,42,3.6,562.33,1.06,18313.59,0.307,5622.27,1,2021,1,0,1,0
ORD-00132,2021-01-27,Monitor,South,Enterprise,11,1655.73,0.09,42,6.9,650.99,0.84,16573.86,0.455,7541.11,1,2021,1,3,3,0
ORD-00133,2021-01-27,Keyboard,North,Online,8,1504.2,0.24,49,1.9,4755.11,0.95,9145.54,0.332,3036.32,1,2021,1,1,2,1
ORD-00134,2021-01-28,Headphones,Central,SMB,3,455.69,0.05,44,8.1,4763.58,0.81,1298.72,0.251,325.98,1,2021,1,0,0,3
ORD-00135,2021-01-28,Monitor,South,SMB,19,1758.47,0.08,49,6.6,4846.91,0.93,30738.06,0.316,9713.23,1,2021,1,3,3,3
ORD-00136,2021-01-28,Headphones,South,Online,12,1075.29,0.24,48,4.4,1582.2,0.87,9806.64,0.161,1578.87,1,2021,1,0,3,1
ORD-00137,2021-01-28,Phone,West,SMB,6,1784.12,0.13,67,8.6,1038.91,1.02,9313.11,0.37,3445.85,1,2021,1,5,4,3
ORD-00138,2021-01-28,Mouse,North,Retail,8,693.16,0.06,41,1.4,4906.48,1.0,5212.56,0.493,2569.79,1,2021,1,4,2,2
ORD-00139,2021-01-29,Keyboard,West,SMB,5,171.0,0.2,52,8.5,4942.49,1.12,684.0,0.199,136.12,1,2021,1,1,4,3
ORD-00140,2021-01-29,Monitor,West,Retail,10,978.15,0.22,47,0.2,483.92,1.06,7629.57,0.229,1747.17,1,2021,1,3,4,2
ORD-00141,2021-01-29,Mouse,East,Retail,16,576.18,0.04,50,7.5,3787.39,1.09,8850.12,0.262,2318.73,1,2021,1,4,1,2
ORD-00142,2021-01-29,Mouse,Central,Retail,12,1444.7,0.08,50,5.7,1514.45,0.84,15949.49,0.293,4673.2,1,2021,1,4,0,2
ORD-00143,2021-01-29,Webcam,South,Online,17,1916.36,0.07,63,7.0,4555.56,0.81,30297.65,0.388,11755.49,1,2021,1,7,3,1
ORD-00144,2021-01-29,Headphones,North,SMB,6,1397.4,0.11,44,4.1,537.2,1.19,7462.12,0.155,1156.63,1,2021,1,0,2,3
ORD-00145,2021-01-29,Webcam,Central,SMB,9,1779.52,0.23,50,8.6,4454.03,0.97,12332.07,0.221,2725.39,1,2021,1,7,0,3
ORD-00146,2021-01-29,Tablet,Central,Online,10,933.4,0.21,50,3.1,112.84,0.96,7373.86,0.315,2322.77,1,2021,1,6,0,1
ORD-00147,2021-01-30,Phone,North,Online,14,1554.7,0.2,21,2.7,2657.69,0.81,17412.64,0.336,5850.65,1,2021,1,5,2,1
ORD-00148,2021-01-30,Phone,Central,SMB,14,1693.93,0.0,47,3.0,1744.26,0.85,23715.02,0.315,7470.23,1,2021,1,5,0,3
ORD-00149,2021-01-30,Phone,East,Online,17,1436.21,0.04,61,7.7,2193.94,1.18,23438.95,0.274,6422.27,1,2021,1,5,1,1
ORD-00150,2021-01-31,Keyboard,Central,Online,16,1040.17,0.07,32,5.0,2225.54,1.08,15477.73,0.385,5958.93,1,2021,1,1,0,1
