customer_id,age,income_bracket,region,segment,total_orders,total_spend,loyalty_years,churn_risk,satisfaction_score
CUST-0000,28,High,South,Retail,9,34794.57,1.1,0.649,2.8
CUST-0001,36,Medium,South,Enterprise,11,25651.96,4.4,0.576,2.2
CUST-0002,39,Very High,East,Enterprise,35,31200.42,1.8,0.406,4.1
CUST-0003,67,Low,East,Online,49,39574.16,2.6,0.539,1.4
CUST-0004,68,Medium,South,Online,44,27496.9,5.9,0.871,2.8
CUST-0005,66,Medium,South,Retail,37,48870.98,4.0,0.864,3.4
CUST-0006,69,Medium,North,Enterprise,46,12160.65,8.7,0.773,4.9
CUST-0007,39,Very High,Central,SMB,17,46024.57,2.3,0.414,1.4
CUST-0008,66,Very High,North,Retail,26,12759.16,10.0,0.786,1.5
CUST-0009,64,Very High,East,SMB,4,26816.41,3.6,0.388,5.0
CUST-0010,33,High,East,Enterprise,33,23067.39,5.2,0.664,2.6
CUST-0011,34,Low,East,Retail,17,18957.72,1.3,0.567,4.0
CUST-0012,57,High,Central,SMB,42,48155.37,5.8,0.3,4.1
CUST-0013,24,Low,West,Retail,8,13978.93,9.6,0.453,2.3
CUST-0014,48,Medium,East,Online,26,33906.02,7.5,0.83,1.9
CUST-0015,21,Very High,East,Online,43,40301.39,2.4,0.913,2.1
CUST-0016,46,Very High,North,SMB,20,10251.84,4.4,0.205,4.1
CUST-0017,24,Very High,North,Online,42,48671.07,4.3,0.456,4.4
CUST-0018,60,Medium,West,Online,38,27558.7,1.0,0.434,3.8
CUST-0019,47,Low,West,SMB,43,45767.29,8.9,0.489,2.8
CUST-0020,20,High,West,Retail,48,33362.11,3.8,0.977,2.1
CUST-0021,42,High,West,SMB,42,32646.63,4.9,0.519,2.7
CUST-0022,51,Medium,North,Online,33,17606.51,2.9,0.83,4.7
CUST-0023,50,Low,East,Retail,40,38644.21,1.5,0.664,4.5
CUST-0024,48,Very High,North,Online,17,1974.42,9.0,0.107,2.3
CUST-0025,41,Low,South,Enterprise,9,28013.11,0.4,0.696,2.3
CUST-0026,55,Low,South,SMB,20,2090.88,4.0,0.647,4.1
CUST-0027,63,Very High,East,SMB,8,15690.16,7.3,0.758,2.7
CUST-0028,21,Low,West,SMB,41,5266.64,3.1,0.074,3.3
